Created by Sam Guyette
Date and time of script execution: 2019-06-28 15:29:55

Channel, Website, Company, Category, Name, SKU, Price, Shipping
NSP,PC Connection,Epson,Printer,Epson Surecolor T3270 Printer ,SCT3270SR, $2545.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T7270 Printer ,SCT7270SR, $3595.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5470 Printer ,SCT5470SR, $2395.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T7270D Dual Roll Printer ,SCT7270DR, $5295.00, 
NSP,PC Connection,HP,Printer,HP Designjet T520 36Printer ,CQ893C#B1K, , 
NSP,PC Connection,HP,Printer,HP Designjet T520 24Eprinter ($1250.00-$500.00 Instant Rebate$750.00Expires 6 30) ,CQ890C#B1K, , 
NSP,PC Connection,HP,Printer,HP Designjet T520 24Printer (Taa Compliant) ,CQ890D#BCB, , 
NSP,PC Connection,Epson,Printer,Epson Surecolor T3170 Wireless Printer ,SCT3170SR, $935.09, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T3170 Wireless Printer ,SCT3170SR, $935.09, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5170 Wireless Printer ,SCT5170SR, $1909.32, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5270 Printer ,SCT5270SR, $3195.00, 
NSP,PC Connection,HP,Printer,HP Designjet T120 Printer ($799.00-$200.00 Instant Rebate$599.00Expires 6 30) ,CQ891C#B1K, , 
NSP,PC Connection,HP,Printer,HP Designjet T120 Printer ,CQ891B#B1K, , 
NSP,PC Connection,Epson,Printer,Epson Surecolor T3270 Printer ,SCT3270SR, $2545.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5470 Printer ,SCT5470SR, $2395.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T7270D Dual Roll Printer ,SCT7270DR, $5295.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T3170 Wireless Printer ,SCT3170SR, $935.09, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5170 Wireless Printer ,SCT5170SR, $1909.32, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T7270 Printer ,SCT7270SR, $3595.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5270 Printer ,SCT5270SR, $3195.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T3270 Printer ,SCT3270SR, $2545.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5470 Printer ,SCT5470SR, $2395.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T7270 Printer ,SCT7270SR, $3595.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T7270D Dual Roll Printer ,SCT7270DR, $5295.00, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5170 Wireless Printer ,SCT5170SR, $1909.32, 
NSP,PC Connection,Epson,Printer,Epson Surecolor T5270 Printer ,SCT5270SR, $3195.00, 
NSP,PC Connection,HP,Ink,HP 711 80-Ml Black Ink Cartridge ,CZ133ACOLORBLACKCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $58.33, 
NSP,PC Connection,HP,Ink,HP 711 (Cz135A29-Ml Magenta Original Ink Cartridges (3-Pack) ,CZ135ACOLORMAGENTACARTRIDGE CAPACITYSTANDARD CAPACITY3-PACK , $60.41, 
NSP,PC Connection,HP,Ink,HP 711 29-Ml Cyan Ink Cartridge ,CZ130ACOLORCYANCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $29.92, 
NSP,PC Connection,HP,Ink,HP 711 (Cz136A29-Ml Yellow Original Ink Cartridges (3-Pack) ,CZ136ACOLORYELLOWCARTRIDGE CAPACITYSTANDARD CAPACITY3-PACK , $60.41, 
NSP,PC Connection,HP,Ink,HP 711 29-Ml Magenta Ink Cartridge ,CZ131ACOLORMAGENTACARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $29.92, 
NSP,PC Connection,HP,Ink,HP 711 38-Ml Black Ink Cartridge ,CZ129ACOLORBLACKCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $35.98, 
NSP,PC Connection,HP,Ink,HP 711 (Cz136A29-Ml Yellow Original Ink Cartridges (3-Pack) ,CZ136ACOLORYELLOWCARTRIDGE CAPACITYSTANDARD CAPACITY3-PACK , $60.41, 
NSP,PC Connection,HP,Ink,HP 711 (Cz134A29-Ml Cyan Original Ink Cartridges (3-Pack) ,CZ134ACOLORCYANCARTRIDGE CAPACITYSTANDARD CAPACITY3-PACK , $60.41, 
NSP,PC Connection,HP,Ink,HP 711 (Cz135A29-Ml Magenta Original Ink Cartridges (3-Pack) ,CZ135ACOLORMAGENTACARTRIDGE CAPACITYSTANDARD CAPACITY3-PACK , $60.41, 
NSP,PC Connection,HP,Ink,HP 711 29-Ml Yellow Ink Cartridge ,CZ132ACOLORYELLOWCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $29.92, 
NSP,PC Connection,HP,Ink,HP 711 80-Ml Black Ink Cartridge ,CZ133ACOLORBLACKCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $58.33, 
NSP,PC Connection,HP,Ink,HP 711 29-Ml Cyan Ink Cartridge ,CZ130ACOLORCYANCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $29.92, 
NSP,PC Connection,HP,Ink,HP 711 29-Ml Magenta Ink Cartridge ,CZ131ACOLORMAGENTACARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $29.92, 
NSP,PC Connection,HP,Ink,HP 711 38-Ml Black Ink Cartridge ,CZ129ACOLORBLACKCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $35.98, 
NSP,PC Connection,HP,Ink,HP 711 29-Ml Yellow Ink Cartridge ,CZ132ACOLORYELLOWCARTRIDGE CAPACITYSTANDARD CAPACITY1-PACK , $29.92, 
NSP,PC Connection,HP,Ink,HP 711 (Cz134A29-Ml Cyan Original Ink Cartridges (3-Pack) ,CZ134ACOLORCYANCARTRIDGE CAPACITYSTANDARD CAPACITY3-PACK , $60.41, 
NSP,PC Connection,HP,Accessory,HP Designjet T520 36Spindle ,B3Q37A , , 
NSP,PC Connection,HP,Accessory,HP Designjet T120 T520 24Spindle ,B3Q36A , , 
