Created by Sam Guyette
Date and time of script execution: 2019-07-09 09:29:23

Condensed Table
*Free Shipping
,Website,SSCT3270SR,SSCT3270SP,SSCT5270SR,SSCT5270DR,SSCT7270SR,SSCT3170SR,SSCT3170DR,SSCT5170SR,SSCT5170DR,SSCT3470SR,SSCT5470SR,DDJT120,DDJT520,DDJT52024,DDJT52036,DDT125,DDJT130,DDJT525,DDJT52524,DDJT52536,DDJT530,IIPF670,IIPF670E,
US,Spectraflow,$2545.00,,$3195.00,$4595.00,$3595.00,$895.00,,$1895.00,,$1895.00,$2345.00,$999.00,,$1750.00,$2495.00,,,,,,,,,
US,Shades of Paper,$2545.00,,$3195.00,,$5295.00,$995.00,,$1895.00,,$1895.00,$2395.00,,,,,,,,,,,,,
US,ProImaging Supplies,$2545.00,$3195.00,$3195.00,$4595.00,$5295.00,$895.00,,,,,,,,,,,,,,,,,,
US,All American,$2545.00,$3045.00,$3195.00,$4595.00,$5295.00,$895.00,,$1895.00,,$1895.00,$2395.00,,,,,,,,,,,,,
US,Buffalo,,,,,,$895.00,,$1995.00,,,,,,,,,,,,,,,,
US,LexJet,$2545.00,,$3195.00,$4595.00,$3595.00,$895.00,,Click For Price,,$1895.00,$2345.00,$1203.50,$1750.00,$1750.00,$2495.00,,,$1750.00,$1750.00,$2495.00,$1750.00,,,
US,Laube,$2545.00,,$3195.00,,$3595.00,$895.00,,$1895.00,,$1895.00,$2395.00,,,,,,,,,,,,,
US,Imaging Spectrum,$2545.00,,$3195.00,$4595.00,$3595.00,$895.00,,$1895.00,,$1895.00,$2345.00,,,,,,,,,,,,,
US,ITSupplies,$2545.00,$3045.00,$3195.00,$4595.00,$3595.00,$895.00,,$1895.00,,$1895.00,$2345.00,$1201.00,,$2105.00,$3427.00,,$1201.00,,$2105.00,$2995.00,,$1195.00,$899.00,
US,CDW,$2545.00,,,,,,,$1895.00,,$1895.00,$2395.00,,,,,,,,,,$2495.00,$1715.99,$1308.99,
US,Zones,,,$4258.99,,,$1033.99,,$2148.99,,,,,,,,,,,,,,,,
CA,Grand&Toy ,,,,,,,,,,,,,,,,,,,,,,,,
US,shi,,,$3695.00,,$4595.00,$973.00,,$2020.00,,$1895.00,$2395.00,,$2105.00,,,,$1201.00,,$2105.00,$2995.00,$2105.00,,,
US,MacMall,,,$3995.00,,$6995.00,,,$1895.00,,$1795.00,$2995.00,$999.00,,,$2495.00,,$959.99,,,,$2399.99,,,
US,Amazon,,,,,Sold Out,$972.96,,$2095.00,,,,$684.61,,,,,,,,,,,,
US,PC Connection,$2795.00,,$3695.00,,$4595.00,$1035.09,,$2009.32,,$1722.10,$2495.00,Call For Price,,Call For Price,Call For Price,,,,,,,,,
US,Plotter Pro,$2295.00,$3495.00,$7245.00,$9275.00,$3595.00,$895.00,,$1995.00,,,,,,,,,,,,,,,$995.00,
US,GoVets,,,$2660.52,,$2910.57,,,,,$1584.27,$2006.91,$1538.14,$2858.38,,,,,,,,,,,
US,Adorama,,,,,,,,,,,,,,,,,,,,,,,,
US,Tiger Direct,,,,,,,,,,,,$999.00,,,$2495.00,,$1005.99,,,,$2449.99,,,
US,HP,,,,,,,,,,,,$1201.00,,,,,,,,,,,,
US,PCNation,$2795.00,,,,,,,,,,,,,,,,,,,,,,,
US,Overland Blueprint,,,$2495,,$3245,,,,,,$1295,,,,,,,,,,,,,
US,Tartar Supply,$2545.00*,$3045.00*,$3195.00*,$4845.00*,$3595.00*,$895.00*,,$1895.00*,,$1589.00*,$1979.00*,,,,,,,,,,,,,
CA,Vistek ,,,,,,,,,,,,,,,,,,,,,,,,
US,Dell,,,,,,,,,,,,,,,,,,,,,,,,
US,BuyVPC,,,,,,,,,,,,$999,,$1750,$2495,,,,,,,,,
CA,Epson.ca ,,,,,,,,,,,,,,,,,,,,,,,,
US,Epson,,,,,,,,,,,,,,,,,,,,,,,,
US,Walmart,,,,,,,,,,,,$649.00,$2495.00*,,,,,,,,,,$1192.99*,
US,B&H,$2545.00*,,$4195.00,$4595.00,$5295.00*,$895.00*,,$1895.00*,,$1895.00,$2345.00,$549.99*,,$1250.00*,$339.00,,,,,,,,,
US,NewEgg,,,,,,,,,,,,,,$1250*,,,,,$1649*,,,,$849*,
US,Staples,,,$3494.49,,,$1101.49,,$2159.99,,,$2495.99,,,,,,,,,,,,,





Super Table
Channel, Country, Website, Company, Category, Name, SKU, Price, Shipping
ProFocus,US,Shades of Paper,Epson,Printer,Epson Surecolor T7270 44 Cad Printer Dual Roll ,SSCT7270SR, $5295.00, 
NSP,US,CDW,Canon,Printer,Canon Imageprograf IPF670 ELarge-Format Printer Color Ink-Jet ,IIPF670E, $1308.99, 
ProFocus,US,Imaging Spectrum,Epson,Printer,Epson Surecolor T7270 44 Single Roll Printer ,SSCT7270SR, $3595.00, 
ProFocus,US,Imaging Spectrum,Epson,Printer,Epson Surecolor T5470 36 Large Format Printer With Wifi ,SSCT5470SR, $2345.00, 
NSP,US,MacMall,HP,Printer,HP Inc Designjet T53036 Large-Format Printer Color Ink-Jet2400 X 1200 Dpi Up To 0.4 Min/Page ,DDJT530, $2399.99, 
E-Commerce,US,B&H,Epson,Printer,Surecolor Multifunction Module For T5270 T5270 D Printers ,SSCT5270SR, $4195.00,Shipping Charges Apply 
ProFocus,US,Imaging Spectrum,Epson,Printer,Epson Surecolor T3170 24 Wireless Printer ,SSCT3170SR, $895.00, 
ProFocus,US,Spectraflow,Epson,Printer,Epson Surecolor T5470 Ultrachrome Xd2 4-Color 36 Inch Printer Single Roll ,SSCT5470SR, $2345.00, 
ProFocus,US,ITSupplies,Epson,Printer,Epson Surecolor T3170 24-Inch Wireless Printer ,SSCT3170SR, $895.00, 
NSP,US,PCNation,Epson,Printer,Epson Surecolor Sct3170 Sr Inkjet Large Format Printer24 Print Width Color ,SCT3170SR, $845.27, 
NSP,US,PCNation,Epson,Printer,Epson Surecolor T-Series T3270 Inkjet Large Format Printer24 Print Width Color ,SSCT3270SR, $2795.00, 
E-Commerce,US,GoVets,HP,Printer,HP Designjet T520 Eprinter Large-Format Printer Color Ink-Jet ,DDJT520, $2858.38, 
ProFocus,US,LexJet,HP,Printer,HP Designjet T125 24 In Printer ,DDJT125, $1203.50, 
ProFocus,US,LexJet,HP,Printer,HP Designjet T125 24 In Printer ,DDJT125, $949.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T5170 Wireless Printer Printer ,SSCT5170SR, $2465.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T3170 Wireless Printer Printer ,SSCT3170SR, $1165.00, 
E-Commerce,US,B&H,HP,Printer,Designjet T520 36 Color Inkjet Eprinter ,DDJT52036, $339.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T3270 Single Roll Edition Printer ,SSCT3270SR, $2995.00, 
E-Commerce,US,Walmart,HP,Printer,HP Designjet T520 36 Large-Format Inkjet Printer Office Bundle ,DDJT520BUNDLE, $2311.99,Free Shipping
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T5470 Printer Printer ,SSCT5470SR, $3165.00, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T3470 Printer Printer ,SSCT3470SR, $2465.00, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor F9370 Printer ,, $27995.00, 
ProFocus,US,ITSupplies,Epson,Printer,Epson Surecolor T3270 Printer With Screen Print Bundle ,SSCT3270SP, $3045.00, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor T5470 M Printer And Scanner Printer ,SSCT5470SR, , 
ProFocus,US,ITSupplies,Epson,Printer,Epson Surecolor T3270 Single Roll 24 Printer ,SSCT3270SR, $2545.00, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor S40600 Printer ,, $15995.00, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor T5270 Single Roll Edition Printer ,SSCT5270SR, $3995.00, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor S80600 Printer Printer ,, $24995.00, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor T3470 Printer Printer ,SSCT3470SR, $1895.00, 
E-Commerce,US,Staples,Epson,Printer,Epson Surecolor T3170 Wireless 24 Large Format Inkjet Color Printer White ,SSCT3170SR, $1101.49, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor S80600 Print Cut Edition Printer ,, , 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor T7270 D Dual Roll Edition Printer ,SSCT7270SR, $6995.00, 
ProFocus,US,LexJet,HP,Printer,HP Designjet T125 24 In Printer ,DDJT125, $949.00, 
E-Commerce,US,Epson (US),Epson,Printer,Surecolor F6200 Printer ,, $8495.00, 
NSP,US,CDW,Canon,Printer,Canon Imageprograf IPF670 Large-Format Printer Color Ink-Jet ,IIPF670, $1715.99, 
